HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = 0.109676
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.002 | alpha = 1.09 | Tmax = 0.080223
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.03 | Tmax = 0.171627
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.37 | Tmax = 0.083888
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.20 | Tmax = 0.218935
 HL = 0.500 | t1//t0 = 220.000 | l1//l0 = 0.500 | alpha = 1.10 | Tmax = 0.180252
 HL = 0.500 | t1//t0 = 160.000 | l1//l0 = 0.700 | alpha = 1.10 | Tmax = 0.129935
 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.30 | Tmax = 0.133645
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.14 | Tmax = 0.283705
 HL = 1.000 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.20 | Tmax = 0.145167
 HL = 1.000 | t1//t0 = 30.000 | l1//l0 = 0.700 | alpha = 1.35 | Tmax = 0.152744
 HL = 0.200 | t1//t0 = 50.000 | l1//l0 = 0.300 | alpha = 1.00 | Tmax = 0.085055
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.030 | alpha = 1.13 | Tmax = 0.168042
 HL = 1.000 | t1//t0 = 110.000 | l1//l0 = 1.000 | alpha = 1.13 | Tmax = 0.184954
 HL = 0.500 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.33 | Tmax = 0.119800
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.13 | Tmax = 0.143469
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.52 | Tmax = 0.065252
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.15 | Tmax = 1.234639
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.001 | alpha = 1.34 | Tmax = 0.082853
 HL = 0.200 | t1//t0 = 30.000 | l1//l0 = 0.500 | alpha = 1.25 | Tmax = 0.270446
 HL = 1.000 | t1//t0 = 70.000 | l1//l0 = 0.700 | alpha = 1.30 | Tmax = 0.202796
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 4.639662
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.09 | Tmax = 0.137898
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.500 | alpha = 1.28 | Tmax = 0.330480
 HL = 0.200 | t1//t0 = 190.000 | l1//l0 = 0.500 | alpha = 1.17 | Tmax = 0.146706
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.33 | Tmax = 0.302231
 HL = 1.000 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.21 | Tmax = 0.142153
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.25 | Tmax = 0.097709
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.34 | Tmax = 0.254595
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.16 | Tmax = 0.126223
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.001 | alpha = 1.46 | Tmax = 1.262967
 HL = 0.500 | t1//t0 = 210.000 | l1//l0 = 0.700 | alpha = 1.07 | Tmax = 0.130979
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.50 | Tmax = 1.980329
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.020 | alpha = 1.34 | Tmax = 0.082219
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.007 | alpha = 1.40 | Tmax = 0.084735
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.001 | alpha = 1.23 | Tmax = 0.286731
 HL = 0.500 | t1//t0 = 160.000 | l1//l0 = 0.700 | alpha = 1.05 | Tmax = 0.131105
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.500 | alpha = 1.13 | Tmax = 0.300889
 HL = 2.000 | t1//t0 = 160.000 | l1//l0 = 1.000 | alpha = 1.14 | Tmax = 0.496255
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.003 | alpha = 1.23 | Tmax = 0.145967
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.38 | Tmax = 0.134881
 HL = 0.500 | t1//t0 = 70.000 | l1//l0 = 1.000 | alpha = 1.26 | Tmax = 0.138965
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.007 | alpha = 1.19 | Tmax = 0.092367
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.05 | Tmax = 0.158757
 HL = 0.500 | t1//t0 = 160.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.143502
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.23 | Tmax = 0.120207
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.07 | Tmax = 0.134917
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.51 | Tmax = 0.122941
 HL = 7.000 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.48 | Tmax = 1.546973
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.16 | Tmax = 0.181272
 HL = 0.200 | t1//t0 = 120.000 | l1//l0 = 0.700 | alpha = 1.22 | Tmax = 0.328560
 HL = 0.200 | t1//t0 = 50.000 | l1//l0 = 0.300 | alpha = 1.14 | Tmax = 0.077962
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.100 | alpha = 1.15 | Tmax = 0.154691
 HL = 10.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.52 | Tmax = 1.752163
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.21 | Tmax = 0.545322
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.36 | Tmax = 0.088839
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.500 | alpha = 1.46 | Tmax = 0.334678
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.30 | Tmax = 0.429444
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.42 | Tmax = 0.082452
 HL = 2.000 | t1//t0 = 80.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.421630
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.37 | Tmax = 0.169249
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.46 | Tmax = 1.044333
 HL = 15.000 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.52 | Tmax = 3.745794
 HL = 7.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.46 | Tmax = 1.306363
 HL = 7.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.44 | Tmax = 1.375103
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.500 | alpha = 1.50 | Tmax = 0.257668
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.54 | Tmax = 0.070284
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.43 | Tmax = 0.073971
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.42 | Tmax = 1.036999
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.53 | Tmax = 0.047747
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.300 | alpha = 1.51 | Tmax = 0.127064
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.54 | Tmax = 0.125746
 HL = 7.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.56 | Tmax = 0.876279
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.53 | Tmax = 0.396027
 HL = 7.000 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.54 | Tmax = 1.082661
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.52 | Tmax = 1.066674
 HL = 7.000 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.54 | Tmax = 1.192790
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.50 | Tmax = 0.895730
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.51 | Tmax = 0.118026
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.54 | Tmax = 0.077071
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.53 | Tmax = 0.099412
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.53 | Tmax = 0.581674
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.51 | Tmax = 0.801947
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.54 | Tmax = 0.088534
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.52 | Tmax = 0.648687
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.53 | Tmax = 0.552140
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.53 | Tmax = 0.070420
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.53 | Tmax = 0.148236
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.53 | Tmax = 0.200129
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.53 | Tmax = 0.214286
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.53 | Tmax = 0.224153
 HL = 5.000 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.53 | Tmax = 0.747371
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.53 | Tmax = 0.511442
 HL = 0.500 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.148935
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.005 | alpha = 1.33 | Tmax = 0.117145
 HL = 5.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.35 | Tmax = 1.203098
 HL = 1.000 | t1//t0 = 170.000 | l1//l0 = 0.700 | alpha = 1.30 | Tmax = 0.216268
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.38 | Tmax = 0.080538
 HL = 2.000 | t1//t0 = 120.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.282561
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.55 | Tmax = 3.756843
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.070 | alpha = 1.07 | Tmax = 0.149752
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.007 | alpha = 1.36 | Tmax = 0.081674
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.11 | Tmax = 0.124754
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.050 | alpha = 1.02 | Tmax = 0.080865
 HL = 10.000 | t1//t0 = 200.000 | l1//l0 = 1.000 | alpha = 1.48 | Tmax = 2.290648
 HL = 0.500 | t1//t0 = 90.000 | l1//l0 = 0.500 | alpha = 1.27 | Tmax = 0.163745
 HL = 7.000 | t1//t0 = 40.000 | l1//l0 = 0.700 | alpha = 1.50 | Tmax = 1.537973
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.37 | Tmax = 0.382870
 HL = 0.500 | t1//t0 = 80.000 | l1//l0 = 0.500 | alpha = 1.15 | Tmax = 0.162124
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.003 | alpha = 1.17 | Tmax = 0.081858
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.29 | Tmax = 0.118859
 HL = 0.500 | t1//t0 = 160.000 | l1//l0 = 0.500 | alpha = 1.07 | Tmax = 0.174064
 HL = 0.500 | t1//t0 = 40.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.130461
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.33 | Tmax = 1.260043
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.42 | Tmax = 0.320511
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.41 | Tmax = 1.155582
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.49 | Tmax = 0.497879
 HL = 1.000 | t1//t0 = 50.000 | l1//l0 = 1.000 | alpha = 1.06 | Tmax = 0.194696
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.003 | alpha = 1.38 | Tmax = 0.082832
 HL = 5.000 | t1//t0 = 120.000 | l1//l0 = 1.000 | alpha = 1.45 | Tmax = 0.923621
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.07 | Tmax = 0.158795
 HL = 2.000 | t1//t0 = 190.000 | l1//l0 = 1.000 | alpha = 1.13 | Tmax = 0.502749
 HL = 0.500 | t1//t0 = 150.000 | l1//l0 = 0.700 | alpha = 1.25 | Tmax = 0.124574
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.15 | Tmax = 0.160821
 HL = 0.500 | t1//t0 = 200.000 | l1//l0 = 1.000 | alpha = 1.00 | Tmax = 0.129812
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.003 | alpha = 1.15 | Tmax = 0.099075
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.030 | alpha = 1.09 | Tmax = 0.181799
 HL = 5.000 | t1//t0 = 190.000 | l1//l0 = 0.700 | alpha = 1.50 | Tmax = 1.020935
 HL = 1.000 | t1//t0 = 40.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.090460
 HL = 7.000 | t1//t0 = 50.000 | l1//l0 = 1.000 | alpha = 1.45 | Tmax = 1.528603
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.50 | Tmax = 0.043352
 HL = 0.200 | t1//t0 = 220.000 | l1//l0 = 0.500 | alpha = 1.25 | Tmax = 0.134656
 HL = 5.000 | t1//t0 = 60.000 | l1//l0 = 0.700 | alpha = 1.52 | Tmax = 0.733372
 HL = 1.000 | t1//t0 = 160.000 | l1//l0 = 0.700 | alpha = 1.04 | Tmax = 0.281101
 HL = 0.500 | t1//t0 = 150.000 | l1//l0 = 0.500 | alpha = 1.55 | Tmax = 0.110843
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.53 | Tmax = 1.097343
 HL = 2.000 | t1//t0 = 170.000 | l1//l0 = 0.700 | alpha = 1.26 | Tmax = 0.604991
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.30 | Tmax = 0.287450
 HL = 7.000 | t1//t0 = 220.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = Inf
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.18 | Tmax = 0.122535
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.002 | alpha = 1.13 | Tmax = 0.114381
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.40 | Tmax = 0.079812
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.05 | Tmax = 0.252058
 HL = 7.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = 1.645241
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.020 | alpha = 1.14 | Tmax = 0.087364
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.020 | alpha = 1.13 | Tmax = 0.108436
 HL = 1.000 | t1//t0 = 30.000 | l1//l0 = 0.500 | alpha = 1.23 | Tmax = 0.293864
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.33 | Tmax = 0.105765
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.007 | alpha = 1.20 | Tmax = 0.259714
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.07 | Tmax = 0.126185
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.010 | alpha = 1.38 | Tmax = 0.546702
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.003 | alpha = 1.39 | Tmax = 0.112746
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.28 | Tmax = 0.164063
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.01 | Tmax = 0.127059
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.242635
 HL = 2.000 | t1//t0 = 110.000 | l1//l0 = 1.000 | alpha = 1.19 | Tmax = 0.462838
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.100 | alpha = 1.05 | Tmax = 0.091061
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.23 | Tmax = 0.136485
 HL = 0.200 | t1//t0 = 18.000 | l1//l0 = 0.030 | alpha = 1.29 | Tmax = 0.083304
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.19 | Tmax = 0.162402
 HL = 5.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.36 | Tmax = 1.112394
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.10 | Tmax = 0.363253
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.37 | Tmax = 0.181005
 HL = 0.500 | t1//t0 = 130.000 | l1//l0 = 1.000 | alpha = 1.25 | Tmax = 0.136312
 HL = 0.200 | t1//t0 = 80.000 | l1//l0 = 0.500 | alpha = 1.20 | Tmax = 0.192678
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.005 | alpha = 1.24 | Tmax = 0.252264
 HL = 0.500 | t1//t0 = 70.000 | l1//l0 = 0.700 | alpha = 1.24 | Tmax = 0.123995
 HL = 1.000 | t1//t0 = 40.000 | l1//l0 = 1.000 | alpha = 1.06 | Tmax = 0.191889
 HL = 1.000 | t1//t0 = 150.000 | l1//l0 = 1.000 | alpha = 1.27 | Tmax = 0.141579
 HL = 0.500 | t1//t0 = 50.000 | l1//l0 = 1.000 | alpha = 1.07 | Tmax = 0.129411
 HL = 1.000 | t1//t0 = 220.000 | l1//l0 = 0.700 | alpha = 1.03 | Tmax = 0.285036
 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.53 | Tmax = 0.108261
 HL = 1.000 | t1//t0 = 40.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.144274
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.44 | Tmax = 0.124741
 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = 0.121155
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.050 | alpha = 1.42 | Tmax = 0.083138
 HL = 1.000 | t1//t0 = 70.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.170966
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.07 | Tmax = 0.139462
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.22 | Tmax = 0.124351
 HL = 0.500 | t1//t0 = 110.000 | l1//l0 = 0.700 | alpha = 1.28 | Tmax = 0.123028
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.37 | Tmax = 0.169205
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.007 | alpha = 1.15 | Tmax = 0.081210
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.300 | alpha = 1.17 | Tmax = 0.200024
 HL = 0.500 | t1//t0 = 120.000 | l1//l0 = 0.700 | alpha = 1.05 | Tmax = 0.130644
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.06 | Tmax = 0.250200
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.003 | alpha = 1.08 | Tmax = 0.080039
 HL = 0.500 | t1//t0 = 30.000 | l1//l0 = 0.500 | alpha = 1.22 | Tmax = 0.130077
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.03 | Tmax = 0.473919
 HL = 22.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 3.443526
 HL = 1.000 | t1//t0 = 150.000 | l1//l0 = 1.000 | alpha = 1.03 | Tmax = 0.208423
 HL = 0.500 | t1//t0 = 170.000 | l1//l0 = 0.700 | alpha = 1.27 | Tmax = 0.123811
 HL = 1.000 | t1//t0 = 60.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.120257
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.300 | alpha = 1.07 | Tmax = 0.205325
 HL = 1.000 | t1//t0 = 50.000 | l1//l0 = 1.000 | alpha = 1.20 | Tmax = 0.158813
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.38 | Tmax = 0.083986
 HL = 0.200 | t1//t0 = 18.000 | l1//l0 = 0.010 | alpha = 1.19 | Tmax = 0.081047
